text,sentiment
,
This is the worst experience ever.,Negative
"It's okay, nothing special.",Neutral
"Amazing quality, highly recommend!",Positive
I would not buy this again.,Negative
Very satisfied with the service.,Positive
The product broke after one day.,Negative
"Not bad, could be better.",Neutral
Excellent customer support!,Positive
"Terrible, I want a refund.",Negative
I'm happy with my purchase.,Positive
The item arrived late.,Negative
"Average experience, nothing amazing.",Neutral
Fantastic! Will buy again.,Positive
Disappointed with the performance.,Negative
The delivery was quick and easy.,Positive
Not worth the money.,Negative
It's fine for the price.,Neutral
Superb quality and design.,Positive
I regret buying this.,Negative
